category,date,sales
Cafe Beverages,2021-01-09 15:00:00,18313.04
Cafe Beverages,2021-01-09 16:00:00,20238.57
Cafe Beverages,2021-01-09 17:00:00,23024.4
Cafe Beverages,2021-01-09 18:00:00,17140.38
Cafe Beverages,2021-01-09 19:00:00,14769.23
Cafe Beverages,2021-01-09 20:00:00,10629.3
Cafe Beverages,2021-01-09 21:00:00,6112.53
Cafe Beverages,2021-01-09 22:00:00,4187.73
Cafe Beverages,2021-01-09 23:00:00,886.1
Cafe Beverages,2021-01-10 0:00:00,465.33
Cafe Beverages,2021-01-10 1:00:00,85.2
Cafe Beverages,2021-01-10 4:00:00,119
Cafe Beverages,2021-01-10 6:00:00,821.1
Cafe Beverages,2021-01-10 8:00:00,1040.71
Cafe Beverages,2021-01-10 9:00:00,2201.24
Cafe Beverages,2021-01-10 10:00:00,4855.75
Cafe Beverages,2021-01-10 11:00:00,8161.72
Cafe Beverages,2021-01-10 12:00:00,13599.43
Cafe Beverages,2021-01-10 13:00:00,16663.1
Cafe Beverages,2021-01-10 14:00:00,19885.65
Cafe Beverages,2021-01-10 15:00:00,18282.08
Cafe Beverages,2021-01-10 16:00:00,23677.95
Cafe Beverages,2021-01-10 17:00:00,25715.75
Cafe Beverages,2021-01-10 18:00:00,22938.7
Cafe Beverages,2021-01-10 19:00:00,12860.98
Cafe Beverages,2021-01-10 20:00:00,11053.77
Cafe Beverages,2021-01-10 21:00:00,6516.17
Cafe Beverages,2021-01-10 22:00:00,3436.28
Cafe Beverages,2021-01-10 23:00:00,495.35
Cafe Beverages,2021-01-11 0:00:00,146.52
Cafe Beverages,2021-01-11 1:00:00,144.11
Cafe Beverages,2021-01-11 4:00:00,476
Cafe Beverages,2021-01-11 5:00:00,476
Cafe Beverages,2021-01-11 7:00:00,555
Cafe Beverages,2021-01-11 8:00:00,1103.64
Cafe Beverages,2021-01-11 9:00:00,656.31
Cafe Beverages,2021-01-11 10:00:00,4526.24
Cafe Beverages,2021-01-11 11:00:00,5581.47
Cafe Beverages,2021-01-11 12:00:00,11410.36
Cafe Beverages,2021-01-11 13:00:00,11868.18
Cafe Beverages,2021-01-11 14:00:00,12306.56
Cafe Beverages,2021-01-11 15:00:00,12977.5
Cafe Beverages,2021-01-11 16:00:00,12548.19
Cafe Beverages,2021-01-11 17:00:00,12956.48
Cafe Beverages,2021-01-11 18:00:00,15350.81
Cafe Beverages,2021-01-11 19:00:00,14906.15
Cafe Beverages,2021-01-11 20:00:00,9245.62
Cafe Beverages,2021-01-11 21:00:00,5233.08
Cafe Beverages,2021-01-11 22:00:00,2097.82
Cafe Beverages,2021-01-11 23:00:00,261.78
Cafe Beverages,2021-01-12 4:00:00,476
Cafe Beverages,2021-01-12 5:00:00,119
Cafe Beverages,2021-01-12 6:00:00,357
Cafe Beverages,2021-01-12 7:00:00,119
Cafe Beverages,2021-01-12 8:00:00,1161.85
Cafe Beverages,2021-01-12 9:00:00,1597.9
Cafe Beverages,2021-01-12 10:00:00,3836.84
Cafe Beverages,2021-01-12 11:00:00,6749.07
Cafe Beverages,2021-01-12 12:00:00,7558
Cafe Beverages,2021-01-12 13:00:00,11597.22
Cafe Beverages,2021-01-12 14:00:00,12179.18
Cafe Beverages,2021-01-12 15:00:00,13254.27
Cafe Beverages,2021-01-12 16:00:00,15738.02
Cafe Beverages,2021-01-12 17:00:00,16200.8
Cafe Beverages,2021-01-12 18:00:00,16313.79
Cafe Beverages,2021-01-12 19:00:00,16087.49
Cafe Beverages,2021-01-12 20:00:00,8024.75
Cafe Beverages,2021-01-12 21:00:00,4230.41
Cafe Beverages,2021-01-12 22:00:00,2457.3
Cafe Beverages,2021-01-12 23:00:00,195.17
Cafe Beverages,2021-01-13 0:00:00,99
Cafe Beverages,2021-01-13 4:00:00,119
Cafe Beverages,2021-01-13 5:00:00,119
Cafe Beverages,2021-01-13 6:00:00,119
Cafe Beverages,2021-01-13 7:00:00,357
Cafe Beverages,2021-01-13 8:00:00,289.63
Cafe Beverages,2021-01-13 9:00:00,773.06
Cafe Beverages,2021-01-13 10:00:00,2925.13
Cafe Beverages,2021-01-13 11:00:00,5304.27
Cafe Beverages,2021-01-13 12:00:00,7381.48
Cafe Beverages,2021-01-13 13:00:00,11324.98
Cafe Beverages,2021-01-13 14:00:00,10795.62
Cafe Beverages,2021-01-13 15:00:00,9040.77
Cafe Beverages,2021-01-13 16:00:00,14061.31
Cafe Beverages,2021-01-13 17:00:00,15139.58
Cafe Beverages,2021-01-13 18:00:00,15539.88
Cafe Beverages,2021-01-13 19:00:00,9522.85
Cafe Beverages,2021-01-13 20:00:00,8590.53
Cafe Beverages,2021-01-13 21:00:00,5977.61
Cafe Beverages,2021-01-13 22:00:00,2761.06
Cafe Beverages,2021-01-13 23:00:00,959.68
Cafe Beverages,2021-01-14 0:00:00,570.01
Cafe Beverages,2021-01-14 1:00:00,198
Cafe Beverages,2021-01-14 4:00:00,119
Cafe Beverages,2021-01-14 5:00:00,119
Cafe Beverages,2021-01-14 6:00:00,357
Cafe Beverages,2021-01-14 7:00:00,238
Cafe Beverages,2021-01-14 8:00:00,1143.5
Cafe Beverages,2021-01-14 9:00:00,1833.42
Cafe Beverages,2021-01-14 10:00:00,2469.84
Cafe Beverages,2021-01-14 11:00:00,4697.5
Cafe Beverages,2021-01-14 12:00:00,5816.1
Cafe Beverages,2021-01-14 13:00:00,9737.61
Cafe Beverages,2021-01-14 14:00:00,13808.23
Cafe Beverages,2021-01-14 15:00:00,12207.89
Cafe Beverages,2021-01-14 16:00:00,16130.82
Cafe Beverages,2021-01-14 17:00:00,15882.4
